Company Name,Sector,Country,City,Email,Website,Address,Tel/Fax,
32Group,Travel and Tourism,UAE,Dubai,mail@32group-dubai.com ,,P.O.Box 44132,Tel: +971 4-330-3332,
3Com International,Telecoms and IT,UAE,Dubai,emea.3com.com,,P.O.Box 53657,Tel: +971 4-390-8990,
3M Gulf,Conglomerates,UAE,Dubai,3mgulf@mmm.com,www.3mgulf.com,Building No 11 -Dubai Internet City,Tel: +971 4-367-0777,
3i Infotech,Telecoms and IT,UAE,Dubai,marketing.emea@3i-infotech.com,www.3i-infotech.com,Building 1,Tel: +971 4-391-4900,
A A Al Moosa Enterprises,Conglomerates,UAE,Dubai,arenco@emirates.net.ae,www.aaagroup.com,Arenco Building,Tel: +971 4-336-5427,
A W Rostamani Group,Conglomerates,UAE,Dubai,,www.awrostamani.com,Nissan Building,Tel: +971 4-295-2222,
A and T Cool,Power and Utilities,UAE,,gmail@tabreed.com,,"C/O, National Central Cooling Company",Tel: +971 4-340-4422,
AAA Home Group,Services,UAE,Dubai,sales@dubaiaaa.com,www.dubaiaaa.com,Building 4,Tel: +971 4-368-9999,
AAKAR Developers,Real Estate,UAE,Dubai,info@aakar.biz,www.aakar.biz,Block Number 13,Tel: +971 4-368-4347,
ABB Industries,Industrial Manufacturing,UAE,Dubai,duabb.reception@ae.abb.com,www.mena.abb.com,ABB Building,Tel: +971 4-334-7788,
ABB International Marketing - UAE,Construction,UAE,Dubai,duabb.reception@ae.abb.com,www.mena.abb.com,ABB Building,Tel: +971 4-314-7500,
ABN AMRO Bank,Financial Services,UAE,Dubai,,www.abnamro.ae,Khaled Bin Al Waleed Street,Tel: +971 4-351-2200,
ABQ Investments,Financial Services,UAE,Dubai,info@abq-investments.com,www.abq-investments.com,Suite 305,Tel: +971 4-396-6336,
ABQ Zawya,Media,UAE,Dubai,support@zawya.com,www.zawya.com,The Exchange Building,Tel: +971 4-363-5660,
ADCB Macquarie Corporate Finance,Financial Services,UAE,Abu Dhabi,,,"C/O, Abu Dhabi Commercial Bank, PO Box 939, Abu Dhabi, United Arab Emirates",Tel: +971 2-644-4873,
ADCB Macquarie Real Estate Capital,Financial Services,UAE,Abu Dhabi,,,"C/O, Abu Dhabi Commercial Bank, PO Box 939, Abu Dhabi, United Arab Emirates",Tel: +971 2-644-4873,
AES Oasis,Power and Utilities,UAE,Dubai,,,P.O.Box 62843,Tel: +971 4-332-9699,
AGA-ADK,Media,UAE,Dubai,agadxb@emirates.net.ae,www.agadubai.com,Al Garhoud Center,Tel: +971 4-282-9555,
AGN MAK,Services,UAE,Dubai,makdubai@agnmak.com,www.agnmak.com,Al Reem Tower,Tel: +971 4-228-3008,
AIG MEMSA Insurance Company,Financial Services,UAE,Dubai,,,The Gate Building,Tel: +971 4-362-1700,
ALDAR Properties,Real Estate,UAE,Abu Dhabi,info@aldar.com,www.aldar.com,Emirates Post Building,Tel: +971 2-696-4444,
AME Info,Media,UAE,Dubai,,www.ameinfo.com,"Phase II, Building 4",Tel: +971 4-390-2700,
AMS Contracting Company,Construction,UAE,Sharjah,amsgroup@emirates.net.ae,,P.O.Box 22484,Tel: +971 6-531-1444,
AMS Group,Conglomerates,UAE,Sharjah,amsgroup@emirates.net.ae,www.ams.co.ae,Dhaid Road,Tel: +971 6-531-1444,
AMS Quarry and Crusher,Construction,UAE,Sharjah,amsgroup@emirates.net.ae,,P.O.Box 22484,Tel: +971 6-531-1444,
ANC Group,Construction,UAE,Dubai,mail@ancdubai.com,,"Al Quoz Industrial Area, Barsha",Tel: +971 4-340-0004,
ANTA Group,Travel and Tourism,UAE,Ajman,anta@eta-ascon.com,www.anta.ae ,P.O.Box 641,Tel: +971 6-742-2300,
APTEC Holdings,Telecoms and IT,UAE,,sales@apteconline.com,www.apteconline.com,Lulu Building Number 3,Tel: +971 4-369-7111,
ARY Group,Conglomerates,UAE,Dubai,ary@eim.ae,www.arygold.net,P.O.Box 1123,Tel: +971 4-225-1588,
ARY Properties,Real Estate,UAE,Dubai,sales@aryproperties.com,www.aryproperties.com,City Tower 1,Tel: +971 4-331-2126,
